,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Country
0,George Town,5.4112,100.3354,299.0,90,40,1.34,MY
1,Schattdorf,46.8655,8.6547,281.25,48,99,1.73,CH
2,Dikson,73.5069,80.5464,270.84,94,100,11.57,RU
3,Catherinas Lust,6.4,-57.6,299.6,82,64,3.69,GY
4,Mossamedes,-15.1961,12.1522,290.47,86,60,0.35,AO
5,Vaini,-21.2,-175.2,300.24,74,20,5.14,TO
6,Maragogi,-9.0122,-35.2225,297.9,85,62,3.6,BR
7,Atuona,-9.8,-139.0333,298.23,79,8,8.22,PF
8,Khatanga,71.9667,102.5,272.36,98,100,6.03,RU
9,Ushuaia,-54.8,-68.3,279.96,76,40,10.29,AR
10,Tuktoyaktuk,69.4541,-133.0374,268.15,100,90,5.14,CA
11,São Raimundo das Mangabeiras,-7.0219,-45.4811,299.38,63,9,1.75,BR
12,Barrow,71.2906,-156.7887,266.16,68,1,2.57,US
13,Jamestown,42.097,-79.2353,282.45,70,1,1.79,US
14,Bilibino,68.0546,166.4372,259.48,90,100,3.11,RU
15,Bredasdorp,-34.5322,20.0403,283.31,82,0,1.55,ZA
16,Hofn,64.2539,-15.2082,277.82,93,100,11.37,IS
17,Alofi,-19.0595,-169.9187,299.09,78,75,8.75,NU
18,Bubaque,11.2833,-15.8333,301.4,73,48,2.44,GW
19,Zaria,11.1113,7.7227,295.27,83,100,1.85,NG
20,Ormond Beach,29.2858,-81.0559,295.93,57,90,2.24,US
21,Port Elizabeth,-33.918,25.5701,283.31,81,0,2.06,ZA
22,Bonthe,7.5264,-12.505,298.71,85,59,1.9,SL
23,Half Moon Bay,37.4636,-122.4286,287.98,68,40,0.45,US
24,Bonavista,48.6499,-53.1147,279.15,87,100,9.75,CA
25,Hobart,-42.8794,147.3294,284.47,58,75,0.45,AU
26,Turukhansk,65.8167,87.9833,275.16,98,100,7.41,RU
27,Arraial do Cabo,-22.9661,-42.0278,293.71,90,100,5.87,BR
28,Bluff,-46.6,168.3333,282.97,48,60,11.18,NZ
29,Praxédis Guerrero,31.3667,-106.0167,301.16,25,6,5.25,MX
30,Kétou,7.3633,2.5998,295.81,97,100,1.0,BJ
31,Yellowknife,62.456,-114.3525,271.71,90,75,2.57,CA
32,Moberly,39.4184,-92.4382,289.11,58,1,2.06,US
33,Praia,14.9215,-23.5087,298.45,83,0,4.63,CV
34,Soe,-9.8607,124.284,302.71,47,19,1.62,ID
35,Santa Maria,-29.6842,-53.8069,289.76,82,20,3.09,BR
36,Port Hardy,50.6996,-127.4199,284.25,71,75,3.6,CA
37,Lerwick,60.1545,-1.1494,285.15,94,62,6.42,GB
38,Amapá,1.0,-52.0,296.65,86,100,1.19,BR
39,Motygino,58.1831,94.7592,273.08,95,100,1.67,RU
40,Khovd,48.0056,91.6419,273.67,56,6,0.47,MN
41,Kapaa,22.0752,-159.319,299.61,74,20,2.24,US
42,Busselton,-33.65,115.3333,288.73,92,100,11.01,AU
43,East London,-33.0153,27.9116,287.16,70,53,2.51,ZA
44,Pevek,69.7008,170.3133,262.96,81,100,1.69,RU
45,Leshukonskoye,64.8989,45.7622,274.55,98,100,2.21,RU
46,Chumphon,10.3333,98.8333,297.21,87,62,1.31,TH
47,Rio Grande,-32.035,-52.0986,287.01,70,1,3.14,BR
48,Yining,29.0361,114.5636,286.61,88,100,0.87,CN
49,Tasiilaq,65.6145,-37.6368,274.24,49,17,1.59,GL
50,Albany,42.6001,-73.9662,279.19,81,16,0.45,US
51,Samarai,-10.6167,150.6667,302.01,70,97,4.07,PG
52,Cherskiy,68.75,161.3,255.62,96,34,4.0,RU
53,Qaanaaq,77.484,-69.3632,270.97,65,100,5.35,GL
54,Hithadhoo,-0.6,73.0833,300.55,72,79,3.13,MV
55,São João do Paraíso,-15.3136,-42.0144,295.27,69,100,3.57,BR
